Timestamp,dl_mcs,dl_n_samples,dl_buffer [bytes],tx_brate downlink [Mbps],tx_pkts downlink,tx_errors downlink (%),dl_cqi,ul_mcs,ul_n_samples,ul_buffer [bytes],rx_brate uplink [Mbps],rx_pkts uplink,rx_errors uplink (%),ul_sinr,phr,sum_requested_prbs,sum_granted_prbs,ul_turbo_iters,slice_type
1670000000000.0,12.0,7,1424,0.0,0,0,6.66667,12.4286,7,0,0.1,2,0.0,36.9066,31,47,36,1.0,embb
1670000000000.0,0.0,0,0,0.0,0,0,6.83333,12.8571,7,0,0.1,2,0.0,36.1926,31,0,0,1.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.16667,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.33333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,14.8646,458,0,2.35878,131,0,8.33333,15.5515,165,139005,2.3128,47,0.0,32.3904,31,5166,2061,1.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.66667,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.83333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,0.0,0,0,0.0,0,0,6.83333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1670000000000.0,0.0,0,0,0.0,0,0,7.0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667160000000.0,0.0,0,0,0.0,0,0,8.28571,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,0.0,0,0,0.0,0,0,6.83333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1670000000000.0,11.9143,70,0,0.2688,20,0,6.66667,14.5714,7,0,0.1,2,0.0,35.5545,31,710,339,1.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.83333,14.7143,14,0,0.1,4,0.0,34.7255,31,0,0,1.0,mmtc
1667160000000.0,0.0,0,0,0.0,0,0,8.16667,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,11.8857,420,10124,1.59488,112,0,6.85714,14.2778,72,0,0.643648,20,0.0,33.4748,31,5999,2160,1.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.83333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,17.5234,428,0,2.72944,124,0,9.0,15.8869,283,0,4.45008,82,0.0,30.9143,31,3256,2013,1.0,urllc
1667170000000.0,0.0,0,0,0.0,0,0,8.33333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.71429,13.5385,13,0,0.1,4,0.0,35.9717,31,0,0,1.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667160000000.0,0.0,0,0,0.0,0,0,8.57143,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,0.0,0,0,0.0,0,0,6.5,15.9943,697,135373,11.8623,199,0.0,31.5359,31,0,0,1.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.66667,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,12.2222,36,0,0.09632,10,0,8.33333,15.4556,90,234,1.2471,26,0.0,32.4963,31,70,114,1.0,mmtc
1670000000000.0,0.0,0,0,0.0,0,0,6.83333,13.0714,14,0,0.1,4,0.0,35.8052,31,0,0,1.0,embb
1667170000000.0,0.0,0,0,0.005184,2,0,8.66667,14.0,4,0,0.1,1,0.0,35.0712,0,0,0,1.0,mmtc
1670000000000.0,17.0451,443,0,2.64467,130,0,9.0,15.77,213,0,3.18128,61,0.0,31.1995,31,2480,1947,1.0,urllc
1670000000000.0,17.2188,521,295,3.07382,147,0,9.0,15.8602,329,1132,5.10685,94,0.0,30.8359,31,3428,2313,1.0,urllc
1670000000000.0,0.0,0,0,0.0,0,0,6.71429,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1670000000000.0,0.0,0,0,0.0,0,0,6.71429,15.6237,93,0,1.2649,26,0.0,32.4198,31,0,0,1.0,embb
1670000000000.0,11.4941,423,0,1.64682,129,0,6.85714,12.7241,29,0,0.1,8,0.0,35.9046,31,4993,2040,1.0,embb
1670000000000.0,0.0,0,0,0.0,0,0,6.66667,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,11.1429,14,0,0.008576,4,0,6.85714,12.4286,7,0,0.1,2,0.0,35.7571,31,12,12,1.0,embb
1670000000000.0,12.0,4,0,0.002336,1,0,9.0,12.1429,7,0,0.1,2,0.0,35.2927,31,3,3,1.0,urllc
1667170000000.0,11.5714,7,0,0.014784,2,0,8.66667,14.4286,7,0,0.1,2,0.0,35.0853,31,7,21,1.0,mmtc
1670000000000.0,0.0,0,0,0.0,0,0,6.83333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.66667,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.83333,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,0.0,0,0,0.0,0,0,6.85714,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.28571,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1667170000000.0,11.8571,7,0,0.0048,2,0,8.66667,12.4286,14,0,0.1,4,0.0,36.1104,31,6,6,1.0,mmtc
1667170000000.0,0.0,0,0,0.0,0,0,8.5,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,11.288,125,142,0.325952,32,0,6.85714,15.8205,39,0,0.577312,11,0.0,32.2981,31,431,447,1.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.28571,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
1670000000000.0,11.4603,63,0,0.315072,26,0,6.66667,0.0,0,0,0.0,0,0.0,0.0,0,471,255,0.0,embb
1667170000000.0,0.0,0,0,0.0,0,0,8.28571,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0.0,mmtc
